ID,LANGUAGE,ABBREVIATION,GLOTTOCODE,CONCEPT,CONCEPT_ID,FORMS,COGNATE_SET,SOURCE,PAGE,COMMENTS,,
TP01,Akuntsú,Ak,akun1241,I,1209,õn,I-1,galucio-etal-2015,249,,,
TP02,Aruá,Ar,arua1261,I,1209,õõt,I-1,galucio-etal-2015,249,,,
TP03,Awetí,Aw,awet1244,I,1209,ito,I-1,galucio-etal-2015,249,,,
TP04,Gavião,Gv,gavi1247,I,1209,õõt,I-1,galucio-etal-2015,249,,,
TP05,Jurúna,Ju,juru1256,I,1209,una,I-1,galucio-etal-2015,249,,,
TP06,Káro,Ka,karo1297,I,1209,?õn,I-1,galucio-etal-2015,249,,,
TP07,Karitiána,Kt,kari1311,I,1209,?n,I-1,galucio-etal-2015,249,,,
TP08,Kuruáya,Ku,kuru1309,I,1209,õn,I-2,galucio-etal-2015,249,,,
TP09,Makuráp,Ma,maku1278,I,1209,õn,I-1,galucio-etal-2015,249,,,
TP10,Mekéns,Me,saki1248,I,1209,õn,I-1,galucio-etal-2015,249,,,
TP11,Mundurukú,Mu,mund1330,I,1209,?n,I-1,galucio-etal-2015,249,,,
TP12,Mawé,Mw,sate1243,I,1209,ujto,I-2,galucio-etal-2015,249,,,
TP13,Paraguayan Guaraní,Pg,para1311,I,1209,?e,I-2,galucio-etal-2015,249,,,
TP14,Parintintín,Pt,pari1258,I,1209,ji(hi),I-2,galucio-etal-2015,249,,,
TP15,Puruborá,Pu,puru1264,I,1209,?õn,I-1,galucio-etal-2015,249,,,
TP16,Salamay,Sa,sala1273,I,1209,õõt,I-1,galucio-etal-2015,249,,,
TP17,Suruí,Su,suru1262,I,1209,ó.?n,I-1,galucio-etal-2015,249,,,
TP18,Tapirapé,Ta, tapi1254,I,1209,ie,I-2,galucio-etal-2015,249,,,
TP19,Tuparí,Tu, tupa1250,I,1209,õn,I-1,galucio-etal-2015,249,,,
TP20,Urubú-Ka’apór,Uk,urub1250,I,1209,ih?,I-2,galucio-etal-2015,249,,,
TP21,Wayoró,Wa,wayo1238,I,1209,õn,I-1,galucio-etal-2015,249,,,
TP22,Xipáya,Xi,xipa1240,I,1209,una,I-1,galucio-etal-2015,249,,,
TP23,Zoró,Zo,zoro1244,I,1209,õõt,I-1,galucio-etal-2015,249,,,
TP24,Akuntsú,Ak,akun1241,WHAT,1236,NA,NA,galucio-etal-2015,250,Missing word,,
TP25,Aruá,Ar,arua1261,WHAT,1236,mé,WHAT-1,galucio-etal-2015,250,,,
TP26,Awetí,Aw,awet1244,WHAT,1236,ka?ika,WHAT-3,galucio-etal-2015,250,,,
TP27,Gavião,Gv,gavi1247,WHAT,1236,mé,WHAT-1,galucio-etal-2015,250,,,
TP28,Jurúna,Ju,juru1256,WHAT,1236,apá,WHAT-5,galucio-etal-2015,250,,,
TP29,Káro,Ka,karo1297,WHAT,1236,k?t,WHAT-8,galucio-etal-2015,250,,,
TP30,Karitiána,Kt,kari1311,WHAT,1236,mõ?ã,WHAT-2,galucio-etal-2015,250,,,
TP31,Kuruáya,Ku,kuru1309,WHAT,1236,ado,WHAT-4,galucio-etal-2015,250,,,
TP32,Makuráp,Ma,maku1278,WHAT,1236,alik?op,WHAT-6,galucio-etal-2015,250,,,
TP33,Mekéns,Me,saki1248,WHAT,1236,a?op,WHAT-4,galucio-etal-2015,250,,,
TP34,Mundurukú,Mu,mund1330,WHAT,1236,a?ó,WHAT-4,galucio-etal-2015,250,Alternative form: á?o,,
TP35,Mawé,Mw,sate1243,WHAT,1236,kat,WHAT-3,galucio-etal-2015,250,,,
TP36,Paraguayan Guaraní,Pg,para1311,WHAT,1236,mba?e,WHAT-2,galucio-etal-2015,250,,,
TP37,Parintintín,Pt,pari1258,WHAT,1236,?a?a,WHAT-3,galucio-etal-2015,250,,,
TP38,Puruborá,Pu,puru1264,WHAT,1236,NA,NA,galucio-etal-2015,250,Missing word,,
TP39,Salamay,Sa,sala1273,WHAT,1236,mé,WHAT-1,galucio-etal-2015,250,,,
TP40,Suruí,Su,suru1262,WHAT,1236,nã?ãn,WHAT-7,galucio-etal-2015,250,,,
